Recipe ID,Recipe Title,Calories,Fat/g,Carbo/g,Protein/g,Alcohol,Vegetarian,Vegan,Gluten Free,Dairy Free,Dish Type,Ingredients,Instructions,Ready in Minutes,Image,Popular,Price Per Serving,Halal,Breakfast,Lunch,Dinner,Snack 1,Snack 2
11,Beef with Anchovies,593.0,24.0,5.0,85.0,0.0,0,0,1,1,main course,"anchovy,   bell pepper,   extra virgin olive oil,   kalamata olives,   loin roast","Crush the anchovies to a paste in a mortar (or pulse in a food processor). Chop half of the olives, and crush them together with the anchovies. Cut the fillet lengthwise into 3 long strips, stopping 1 inch from the end. Spread the anchovy mixture evenly along one side of each strip. Braid the meat tightly, tying it firmly together at the end with kitchen string. Use your palms to flatten the braid to an even thickness, then push any anchovy stuffing back into the braids. Brush the meat all over with 1 tablespoon of the olive oil. Brush a chapa (a flat piece of cast iron set over a fire) or large cast-iron griddle with the remaining 1 tablespoon olive oil and heat over medium heat until a drop of water sizzles on the surface. Add the beef and cook without moving for 10 minutes, or until it is nicely browned on the first side. Turn the meat over and sear on the other side for about 6 minutes—the meat should be quite rare. Continue turning and cooking the meat until all the sides are seared and it is done to taste. Transfer the meat to a carving board and let rest for 5 minutes. Meanwhile, lightly smash the remaining olives and place alongside the meat. The juices will run together. Remove the string, carve the beef into thick slices, and season with pepper. Serve with olives and juices.",45,https://spoonacular.com/recipeImages/27-556x370.jpg,0,5.1007,1,1,0,0,0,0
12,Raw Mustard Greens Salad,274.0,20.0,20.0,7.0,0.0,0,0,0,1,salad,"anchovy,   bread cubes,   garlic cloves,   lemon juice,   lemon juice,   mustard greens,   mustard greens,   olive oil","Preheat oven to 375F. Combine anchovies and garlic in small bowl. Gradually whisk in oil. Place bread cubes in medium bowl. Drizzle 2 tablespoons anchovy oil over, tossing to coat. Sprinkle bread with salt, pepper, and half of cheese; toss to coat. Spray rimmed baking sheet with nonstick spray. Scatter bread on sheet. Bake croutons until crisp and golden, stirring occasionally, about 20 minutes. Set aside. Measure 8 cups (loosely packed) mustard greens and place in large bowl (reserve any remaining greens for another use). Add croutons and remaining cheese to bowl. Whisk 5 teaspoons lemon juice into remaining anchovy oil; season dressing with salt, pepper, and more lemon juice, if desired. Add dressing to salad; toss to coat.",40,https://spoonacular.com/recipeImages/30-556x370.jpg,0,1.1961,1,1,0,0,0,0
13,Anchovy and Herb Marinade,197.0,21.0,2.0,1.0,0.0,0,0,1,1,side dish,"anchovy,   capers,   flat-leaf parsley,   kosher salt,   lemon juice,   lemon zest,   olive oil","In a small bowl, mash the anchovy fillets with a fork until they form a paste. Add the minced garlic, chopped parsley, chopped basil, and thyme leaves to the bowl. Mix well to combine. Stir in the extra virgin olive oil and lemon juice. Season the marinade with salt and pepper to taste. Adjust the seasoning as needed. Place your desired protein (such as chicken, fish, or vegetables) in a shallow dish or resealable plastic bag. Pour the anchovy and herb marinade over the protein, making sure it is evenly coated. If using a bag, seal it tightly. Marinate the protein in the refrigerator for at least 30 minutes to allow the flavors to infuse. For more intense flavor, marinate for up to 24 hours. When ready to cook, remove the protein from the marinade and discard the excess marinade. Cook the protein according to your preferred method, such as grilling, broiling, or sautéing, until it reaches the desired doneness. Serve the cooked protein with a drizzle of the remaining marinade or as a dipping sauce.",45,https://spoonacular.com/recipeImages/35-556x370.jpg,0,12.207,1,0,0,0,1,0
14,Roasted Cauliflower With Anchovy Bread Crumbs,516.0,31.0,51.0,15.0,0.0,0,0,0,1,side dish,"anchovy,   bread crumbs,   cauliflower,   extra virgin olive oil,   extra virgin olive oil,   fresh sage leaves,   garlic,   kosher salt,   lemon zest,   shallot,   sugar","Preheat oven to 400 degrees. Break cauliflower into florets and toss in a bowl with sage, lemon zest, sugar and olive oil. Season with salt and pepper and spread out on a large baking sheet. Place in oven and cook until tender and golden, approximately 20 to 25 minutes. Meanwhile, prepare bread crumbs. Heat olive oil in a saut pan set over medium heat. When oil shimmers, add the anchovies, garlic, shallot and bread crumbs. Cook for 5 to 7 minutes, until golden. In a large bowl, toss together cauliflower and bread crumbs and serve on a warmed platter.",60,https://spoonacular.com/recipeImages/37-556x370.jpg,0,33.027,1,0,0,0,1,0
15,Onion Anchovy Galette,334.0,24.0,26.0,4.0,0.0,0,0,0,0,side dish,"anchovy,   dried thyme,   flour,   garlic clove,   ice water,   olive oil,   onions,   salt,   tomato paste,   unsalted butter,   unsalted butter","Make dough: Blend together flour, butter, and salt in a bowl with your fingertips or a pastry blender (or pulse in a food processor) just until most of mixture resembles coarse meal with some roughly pea-size butter lumps. Drizzle 3 tablespoons ice water evenly over mixture and gently stir with a fork (or pulse in processor) until incorporated. Squeeze a small handful: If it doesn't hold together, add more ice water, 1/2 tablespoon at a time, stirring (or pulsing) until incorporated, then test again. (Do not overwork mixture or pastry will be tough.) Turn out mixture onto a lightly floured surface and divide into 4 portions. With heel of your hand, smear each portion once or twice in a forward motion to help distribute fat. Gather dough together, with a pastry or bench scraper if you have one, and press into a ball, then flatten into a 5-inch disk. Chill, wrapped in plastic wrap, until firm, at least 1 hour. Caramelize onions while dough chills: Cook onions in oil and butter in a 12-inch heavy skillet over medium heat, stirring occasionally, until softened and golden, about 30 minutes. Fill and bake galette: Preheat oven to 375F with rack in middle. Finely chop anchovies and garlic together. Stir together with tomato paste and thyme. Roll out dough on a lightly floured surface with a lightly floured rolling pin into a 13-inch round. Transfer to a parchment-lined large baking sheet. Spread tomato-anchovy mixture over dough, leaving a 2-inch border along edge, then arrange onions on top. Fold edges of dough inward. Bake until pastry is golden, 45 to 50 minutes. Serve warm or at room temperature. Cooks notes: Dough can be chilled up to 3 days. Onions can be caramelized 1 day ahead and chilled.",280,https://spoonacular.com/recipeImages/38-556x370.jpg,0,5.661,1,0,0,0,1,0
16,Radish Salad With Anchovy Sauce,36.0,4.0,1.0,0.0,0.0,0,0,1,1,salad,"anchovy,   capers,   flatleaf parsley,   garlic clove,   lemon juice,   olive oil,   radishes,   salt","Trim tops and tails from the radishes. Scrub them well. Slice each radish into 4 wedges (if small) or 6 wedges (if large). With a mortar and pestle (or in a mini food processor), mash the anchovy, garlic, and a pinch of salt to a paste. Mix in the lemon juice, then slowly blend in the oil, adding it in a thread-thin stream as you mix. Fold in the capers. Add the sauce and parsley to the radishes and fold until well blended. Adjust lemon juice and salt to taste. Serve within 30 minutes.",36,https://spoonacular.com/recipeImages/39-556x370.jpg,0,2.007,1,1,0,0,0,0
17,Anchovies Oregano Pizza,407.0,24.0,33.0,17.0,0.0,0,0,0,0,main course,"anchovies,   garlic,   olive oil,   oregano,   parmesan,   pizza dough,   red chili flakes,   red onion,   tomato sauce","Preheat your oven to the temperature specified on your pizza dough package or to 475°F (245°C) if using homemade dough. Roll out the pizza dough on a floured surface to your desired thickness. Transfer the rolled-out dough to a baking sheet or pizza stone. Spread a thin layer of tomato sauce evenly over the dough, leaving a small border around the edges. Sprinkle the mozzarella cheese evenly over the sauce. Arrange the anchovy fillets on top of the cheese. You can place them whole or cut them into smaller pieces. Scatter the thinly sliced red onion over the pizza. Sprinkle dried oregano over the toppings for added flavor. Drizzle a little olive oil over the pizza and season with salt and pepper to taste. Place the pizza in the preheated oven and bake for about 12-15 minutes, or until the crust is golden and the cheese is melted and bubbly. Once the pizza is cooked, remove it from the oven and let it cool slightly before slicing and serving.",25,https://spoonacular.com/recipeImages/40-556x370.jpg,0,17.0,1,1,0,0,0,0
18,Grilled Mozzarella Sandwich With Anchovy-olive Tapenade,703.0,53.0,33.0,26.0,0.0,0,0,0,0,main course,"anchovy,   bread,   butter,   fresh mozzarella,   garlic clove,   kosher salt,   lemon juice,   olive oil,   olives,   oregano leaves","Mince the garlic. Add the salt and keep mincing until the garlic forms a paste. Place the olives and anchovy on your cutting board and coarsely chop them all together until fine but not completely paste-like. Transfer to a small bowl and add the lemon juice and olive oil.On one side of the bread, place the mozzarella. Sprinkle with oregano. On the other, mound most the tapenadethe amount depends on the size of your bread and your appetite for olives. Melt half the butter in a frying pan over medium-low heat. Place the sandwich in the pan with a weight on top for best results. Cook for 5-6 minutes, until the bread is golden and the cheese starts to melt. Lift the sandwich up, add the rest of the butter, flip the sandwich, and cook about 5 minutes on the second side.Cut in half and serve.",45,https://spoonacular.com/recipeImages/42-556x370.jpg,0,2.3711,1,1,0,0,0,0
19,Sandwich with Eggs and Anchovies,145.0,7.0,15.0,6.0,0.0,0,0,0,1,appetizer,"anchovies,   black olives,   black pepper,   capers,   cherry tomatoes,   crusty bread,   fresh parsley leaves,   garlic,   hard cooked eggs,   olive oil,   orange bell pepper,   red onion","Hollow out the bread by removing most of the inside crumb. Reserve 1/2 cup of the crumb for the filling. Place the olive oil, capers, parsley, garlic, pepper, and anchovies (or salt) in a food processor. Process until the garlic is finely chopped, 1 to 2 minutes. Transfer the mixture to a large bowl. Add the bell pepper, tomatoes, onion, olives, and the reserved bread filling. Toss to combine.Layer half the mixture in the bottom half of the hollowed-out bread. Top with the hard-cooked eggs and the remaining mixture. Replace the top of the loaf. Wrap the filled loaf with plastic wrap. Weigh it down with a heavy object, such as a cast-iron skillet filled with cans. Place it in the refrigerator. Let sit at least 10 hours or overnight. Before serving, cut the loaf into 6 wedges with a sharp bread knife.",15,https://spoonacular.com/recipeImages/43-556x370.jpg,0,7.071,1,0,0,0,1,0
20,"Orecchiette with Cauliflower, Anchovies and Pistachios",557.0,24.0,67.0,19.0,0.0,0,0,0,0,main course,"cauliflower,   chicken stock,   crushed red pepper,   flat-leaf parsley,   oil packed tuna,   orecchiette,   parmesan cheese,   salt and pepper,   unsalted butter,   unsalted pistachios","Preheat the oven to 350. Spread the pistachios in a pie plate and bake for about 5 minutes, or until lightly toasted. Let cool, then coarsely chop. In a medium saucepan of boiling water, blanch the cauliflower florets for 1 minute. Drain and set aside. In a large, deep skillet, cook the butter over moderate heat until golden brown, about 4 minutes. Add the cauliflower and cook over moderately high heat until golden. Add the anchovies and cook, stirring, for 2 minutes. Stir in the stock and cook until the cauliflower is tender, about 3 minutes. Meanwhile, in a large pot of boiling salted water, cook the orecchiette until al dente. Drain the pasta and add it to the skillet. Stir in the parsley, Parmesan and crushed red pepper and season with salt and pepper. Transfer to a warmed bowl, sprinkle with the chopped pistachios and serve.",45,https://spoonacular.com/recipeImages/46-556x370.jpg,0,18.0,1,1,0,0,0,0
21,Roasted Cauliflower With Anchovy Vinaigrette,310.0,28.0,14.0,6.0,0.0,0,0,1,1,side dish,"anchovy,   cauliflower,   garlic cloves,   lemon,   olive oil,   parsley,   salt and pepper","Preheat oven to 425. Break cauliflower into bite-sized pieces. Combine garlic, anchovies, 1/4 cup of olive oil and juice of 1/2 lemon (more to taste). Use an immersion blender to emulsify dressing. Place cauliflower in large baking pan, sprinkle with salt and pepper and remainder of olive oil. Roast until cauliflower starts to change color (15 minutes). Add 1/4 cup of cold water, lower heat to 350 and cook for an additional 30 minutes or until tender turning pieces on occasion. Remove from oven and place in large bowl. Pour dressing over cauliflower and serve. If you want a little more pop add some lemon and garnish with chopped parsley.",45,https://spoonacular.com/recipeImages/47-556x370.jpg,0,18.0,1,0,0,0,1,0
22,Red Peppers With Anchovies,130.0,8.0,12.0,3.0,0.0,0,0,1,1,side dish,"anchovy,   garlic,   olive oil,   olive oil,   red bell peppers,   red bell peppers","Transfer peppers to a large bowl, and cover immediately with plastic wrap. Set aside to steam, about 15 minutes. Peel peppers; discard skins. Remove stems, seeds, and ribs, and cut each pepper lengthwise into 8 strips. Transfer to a small non-reactive bowl.",83,https://spoonacular.com/recipeImages/48-556x370.jpg,0,13.0,1,0,0,0,1,0
23,Hard-Cooked Eggs with Crisp Anchovy Crumbs,71.0,6.0,1.0,4.0,0.0,0,0,0,0,appetizer,"anchovy fillets,   brioche,   eggs,   garlic,   lemon zest,   mayonnaise,   parsley,   unsalted butter","Preheat the oven to 350 In a large saucepan, cover the eggs with water and bring to a simmer. Cook over moderate heat for 8 minutes. Drain the eggs, return them to the pan and shake the pan to crack the shells all over. Fill the pan with cold water and let the eggs cool for 3 minutes. Drain and peel the eggs; pat dry. Meanwhile, in a small bowl, blend together the mayonnaise, garlic and one-third of the minced anchovies. In a small skillet, melt the butter over moderate heat. Add the remaining minced anchovies and cook, stirring, until they break down, about 1 minute. Stir in lemon zest and brioche crumbs and transfer to a rimmed baking sheet. Bake the crumbs until golden brown and crisp, about 2 minutes. Halve the eggs and arrange on a platter. Dollop 1/4 teaspoon of the mayonnaise on each egg yolk. Top each with the anchovy crumbs and parsley and serve.",45,https://spoonacular.com/recipeImages/50-556x370.jpg,0,2.255,1,0,0,0,1,0
24,"Anchovy, Little Gem, And Tomato Salad",165.0,14.0,7.0,4.0,0.0,0,0,1,1,side dish,"anchovy,   curly parsley,   vinaigrette,   kosher salt,   lettuce,   olive oil,   vine ripened tomatoes","Preheat oven to 400. Place tomatoes in an 8x8x2"" glass baking dish. Season with salt and pepper, then drizzle with oil. Roast tomatoes until softened, about 30 minutes. Let cool. Transfer tomatoes to a large bowl, leaving juices behind. Pour vinaigrette into baking dish and whisk into the tomato juices to blend.Add anchovies and lettuce to bowl with tomatoes. Drizzle vinaigrette over. Toss salad to coat (it's best if you use your hands). Season salad to taste with salt and pepper. Sprinkle parsley over and serve.",45,https://spoonacular.com/recipeImages/53-556x370.jpg,0,14.0,1,0,0,0,1,0
25,Anchovy and Piquillo Pepper Bruschetta,152.0,14.0,4.0,1.0,0.0,0,0,0,1,side dish,"anchovies,   bread,   caperberries,   garlic clove,   olive oil,   piquillo peppers,   sea-salt","Preheat the broiler. Toast the bread until golden, then lightly brush with olive oil. Rub the toasts on 1 side with the garlic clove. In a small bowl, toss the piquillos with the anchovies and caperberries. Spoon the topping on the toasts. Drizzle with olive oil, sprinkle with salt and pepper and serve.",45,https://spoonacular.com/recipeImages/54-556x370.jpg,0,8.0,1,0,0,0,1,0
26,Tomato-and-Anchovy Salad with Garlic Cream,194.0,15.0,12.0,5.0,0.0,0,0,1,0,salad,"aged balsamic vinegar,   anchovy,   basil leaves,   garlic cloves,   heirloom tomatoes,   milk,   olive oil,   salt and pepper","In a small saucepan, cover the garlic with cold water and bring to a boil. Boil for 2 minutes, then drain. Repeat two more times, blanching the garlic until tender; drain and transfer to a mini food processor. Add the milk and puree until smooth. Season the garlic cream with salt and pepper. In a large bowl, toss the tomatoes and basil with 2 tablespoons of the olive oil and season with salt and pepper. Gently stir in the anchovies to combine. Spoon the garlic cream onto plates and top with the tomato salad. Drizzle with the balsamic vinegar and the remaining 2 tablespoons of olive oil and serve.",30,https://spoonacular.com/recipeImages/56-556x370.jpg,0,26.0,1,1,0,0,0,0
27,Port-Marinated Pork with Prunes and Anchovies,413.0,11.0,24.0,45.0,6.0,0,0,0,1,main course,"anchovy,   boneless pork loin roast,   flour,   garlic cloves,   lemon juice,   lemon zest,   olive oil,   port,   prunes,   salt and pepper","In a small saucepan, cover the prunes with the port and bring to a simmer. Remove the pan from the heat and let stand until the prunes soften, about 25 minutes. Pour the prunes and port into a large, shallow dish. Add the garlic, lemon juice and zest and a large pinch each of salt and pepper. Add the pork roast and turn to coat. Let marinate at room temperature for 4 hours, turning the meat often. Preheat the oven to 400. Remove the prunes from the marinade. Strain the marinade into a small saucepan and reserve. Roll up the anchovy fillets and stuff each one into a prune. Make a deep lengthwise slit in the pork loin, leaving about 1 inch of meat attached. Open the roast like a book and season with salt and pepper. Arrange the stuffed prunes in a row along the slit; close the roast and tie it at 2-inch intervals with kitchen string. Season the roast all over with salt and pepper. In a large skillet, heat the olive oil until shimmering. Add the roast, fat side down, and brown it over moderate heat on 4 sides, about 1 minute per side. Set the roast in a roasting pan, fat side up. Roast for about 55 minutes; if the pan juices begin to look very dark, add 2 tablespoons of water to the pan. The roast is done when an instant-read thermometer inserted in the center of the meat registers 145. Transfer the roast to a carving board, cover loosely with foil and let rest for 10 minutes. Scrape out any blackened bits in the roasting pan. Set the pan over moderately low heat and stir in the flour to make a smooth paste. Slowly whisk in the reserved marinade and simmer, whisking, until the sauce is smooth and thickened, about 3 minutes. Pour the sauce into a clean saucepan and season with salt and pepper. Untie the roast and slice it 1/2 inch thick. Pour any juices into the sauce and reheat before serving it with a pork roast.",45,https://spoonacular.com/recipeImages/57-556x370.jpg,0,3.7228,0,1,0,0,0,0
28,Grilled Broccoli with Anchovy Dressing,243.0,19.0,16.0,7.0,0.0,0,0,1,1,side dish,"broccoli,   lemon juice,   oil packed tuna,   olive oil,   rosemary,   salt and pepper","Light a grill. Bring a medium pot of water fitted with a steamer insert to a boil. Cut the heads of broccoli lengthwise into quarters, leaving the florets attached to the long stem. Peel the stems. Steam the broccoli until bright green, about 5 minutes. Transfer the broccoli to a large bowl and toss with 2 tablespoons of the olive oil. Season with salt and pepper. In a blender or a mini processor, combine the anchovies, lemon juice and rosemary and puree until smooth. With the blender on, slowly pour in the remaining 1/2 cup of olive oil. Season the anchovy sauce with salt and pepper. Grill the broccoli over high heat, turning, until lightly charred all over, about 5 minutes. Transfer the broccoli to a platter and drizzle with some of the dressing. Serve the remaining dressing on the side.",30,https://spoonacular.com/recipeImages/60-556x370.jpg,0,8.208,1,0,0,0,1,0
